[2026-02-07 11:23:12] === Iniciando Importação de Vestidos (Atualização de Campos) ===
[2026-02-07 11:23:13] Usuário identificado: testerrr (ID: fde5d0d5-cb58-4f9a-8ecb-c7b0da8af15c)
[2026-02-07 11:23:13] Total de itens para processar: 158
[2026-02-07 11:23:14] Item 1 já existe (ID: 43c7ee9be7e4). Pulando.
[2026-02-07 11:23:14] Item 2 já existe (ID: 5404c1738c64). Pulando.
[2026-02-07 11:23:14] Item 3 já existe (ID: 7e33a04304d9). Pulando.
[2026-02-07 11:23:14] Item 4 já existe (ID: 7375aca52373). Pulando.
[2026-02-07 11:23:14] Item 5 já existe (ID: 3cb1aeb7e72b). Pulando.
[2026-02-07 11:23:15] Item 6 já existe (ID: 4261e5b63268). Pulando.
[2026-02-07 11:23:15] Item 7 já existe (ID: 00af0c1565f1). Pulando.
[2026-02-07 11:23:15] Item 8 já existe (ID: 2c2c7ee31050). Pulando.
[2026-02-07 11:23:15] Item 9 já existe (ID: a2d2debcf981). Pulando.
[2026-02-07 11:23:15] Item 10 já existe (ID: 9c4fe1ad1ab6). Pulando.
[2026-02-07 11:23:16] Item 11 já existe (ID: f68ce750251c). Pulando.
[2026-02-07 11:23:16] Item 12 já existe (ID: a818c400eb67). Pulando.
[2026-02-07 11:23:16] Item 13 já existe (ID: 15c1dfe565ea). Pulando.
[2026-02-07 11:23:16] Item 14 já existe (ID: dc4c55f795f5). Pulando.
[2026-02-07 11:23:16] Item 15 já existe (ID: 639c7a4fbec6). Pulando.
[2026-02-07 11:23:17] Item 16 já existe (ID: 313a31b78020). Pulando.
[2026-02-07 11:23:17] Item 17 já existe (ID: 82a8b642dd58). Pulando.
[2026-02-07 11:23:17] Item 18 já existe (ID: db686c915a00). Pulando.
[2026-02-07 11:23:17] Item 19 já existe (ID: d7f5f93b51e7). Pulando.
[2026-02-07 11:23:18] Item 20 já existe (ID: ee58609b3e5b). Pulando.
[2026-02-07 11:23:18] Item 21 já existe (ID: 63d9e9287fac). Pulando.
[2026-02-07 11:23:18] Item 22 já existe (ID: 104b03fae24b). Pulando.
[2026-02-07 11:23:18] Item 23 já existe (ID: 2098150faf1c). Pulando.
[2026-02-07 11:23:18] Item 24 já existe (ID: 41131b04ed90). Pulando.
[2026-02-07 11:23:19] Item 25 já existe (ID: 3b6fb5a4b9ed). Pulando.
[2026-02-07 11:23:19] Item 26 já existe (ID: a44cbd342680). Pulando.
[2026-02-07 11:23:19] Item 27 já existe (ID: 9e39abc68d9a). Pulando.
[2026-02-07 11:23:19] Item 28 já existe (ID: 1638702991c8). Pulando.
[2026-02-07 11:23:19] Item 29 já existe (ID: 5e23cbf92625). Pulando.
[2026-02-07 11:23:20] Item 30 já existe (ID: 0d56fc840824). Pulando.
[2026-02-07 11:23:20] Item 31 já existe (ID: 2a7de03d1075). Pulando.
[2026-02-07 11:23:20] Item 32 já existe (ID: eeffc9697cfe). Pulando.
[2026-02-07 11:23:20] Item 33 já existe (ID: bcbde5886c60). Pulando.
[2026-02-07 11:23:20] Item 34 já existe (ID: 5d0279154986). Pulando.
